OptionName,Sharpe_Long,Sharpe_Short,PoP_Long,PoP_Short,VaR_Long,VaR_Short,CVaR_Long,CVaR_Short,Payout_Long,Payout_Short,Premium_Efficiency_Long,Premium_Efficiency_Short,Breakeven_Long,Breakeven_Short,Breakeven_Long_Pct,Breakeven_Short_Pct,MarketScenario,UserMarketView
اختيارخ توان-18000-14031002,-17.91101394323373,-53.52873272492076,3.65,0.0,-136238.19340132465,-283417.3761016336,-155150.88020677207,-302951.6191832175,-0.01148494526049216,-0.03621378450231271,1.5873015873015874e-07,6010000,24382.693811324236,24091.70693044835,0.9844432028338623,-0.22072093415469451,Bearish Market,neutral
اختيارخ اطلس-65000-14031107,,,0.0,100.0,-1500000.0,500000.0,-1500000.0,500000.0,-1.0,1.0,6.666666666666667e-07,500000,68739.5850805187,67705.90710938307,24.28057327882607,22.4116924776407,Bearish Market,neutral
اختيارخ فصبا-2400-14031114,-22.49735879301379,-79.38645073178765,0.0,0.0,-897961.7366734366,-2804043.049903829,-937978.2800815332,-2846107.4262933657,-0.21663015093017254,-52.95851520392972,2.9036004645760745e-07,50000,6076.83491376712,2547.6121729516503,23.96644050932517,-48.02912743876683,Bearish Market,neutral
اختيارخ فصبا-3000-14031114,-24.32098420198803,-56.57186235660486,0.0,0.0,-937864.931086781,-2001992.3022343991,-978407.4920725689,-2042039.6389432563,-0.27378184918411835,-7.389272078225066,3.4626038781163433e-07,250000,6122.5879487099255,3379.4855355481077,24.89979495532284,-31.059046602445783,Bearish Market,neutral
اختيارخ توان-22000-14031002,-266.3238720771934,-102.14046158385767,0.0,0.0,-1125110.8093775474,-468198.94402682805,-1143830.3593092242,-487656.0819978779,-0.3227208389676821,-0.22356806674409954,3.041362530413625e-07,1820000,25374.056012377252,23901.06035332277,5.090312745401748,-1.0103112308023632,Bearish Market,neutral
اختيارخ رويين-9000-14031226,-2.878603481977816,-7.211679910234065,8.690000000000001,0.02,-1419909.991268085,-2463149.633031361,-1607805.9438712513,-2673002.080685945,-0.12346579450163941,-0.5581856393075857,1.8751171948246764e-07,3000000,15445.29300366426,12931.243706409761,21.750693706954593,1.9331838752148833,Bearish Market,neutral
اختيارخ اطلس-48000-14031107,-4.308121295297508,-1.6205633038934613,8.01,30.349999999999998,-2668332.144579695,-1930486.777549402,-3026910.946419501,-2330143.2374444944,-0.11837019098297104,-0.05257146295225591,9.615384615384616e-08,8711000,60366.793514320176,58620.911421072116,9.1426387892247,5.986099116022636,Bearish Market,neutral
اختيارخ فصبا-4600-14031114,-7.485477465506698,-13.118602916523292,0.51,0.0,-394979.0118076483,-584915.7620208538,-432426.03563354467,-626146.3699569663,-0.3303106413557318,-6.549225497444477,1.3440860215053763e-06,66000,5556.914062144335,4851.901387343837,13.360139986624532,-1.022003522157544,Bearish Market,neutral
اختيارخ توان-24000-14031219,-8.039626266501195,2.8948840242425176,0.02,91.49000000000001,-4482756.642817674,-229758.07020986974,-4753503.24038276,-622775.705996798,-0.6221676999304169,0.3744498343218821,2e-07,3020000,31065.266135577836,28944.25830976942,28.661280329583082,19.876820500183957,Bearish Market,neutral
اختيارخ خاور-2000-14031009,,,0.0,100.0,-300000.0,7000.0,-300000.0,7000.0,-1.0,1.0,3.3333333333333333e-06,7000,2321.5883584605754,2025.838189317554,45.82841447616679,27.251142545072483,Bearish Market,neutral
اختيارخ خپارس-750-14031114,-116.5314410882264,-35.64808441086665,0.0,0.0,-779727.1375120186,-259995.25878731065,-787101.3328216888,-268642.87828649033,-0.7577294813050338,-22.984781350801654,1.01010101010101e-06,10000,1809.3245636472946,790.2796944666344,90.0551012234553,-16.98742705182412,Bearish Market,neutral
اختيارخ اطلس-50000-14031107,-4.611965017168374,2.8270111332967796,6.67,82.6,-2775780.797296491,-641908.1640980743,-3140965.2169454633,-1021857.8585943864,-0.1562789289466114,0.10354636200577466,1.1764705882352942e-07,8000000,60470.16131143374,59953.32232586593,9.32952686934323,8.395086468750556,Bearish Market,neutral
اختيارخ فصبا-4200-14031114,-12.284229393855123,-27.227965974522114,0.0,0.0,-551951.1659138674,-1050982.9210958316,-591978.5935822774,-1090068.907623159,-0.30978985309489726,-896.2731909766337,7.692307692307693e-07,1000,5719.129367850644,4368.374995334646,16.66930574970713,-10.885863008269158,Bearish Market,neutral
اختيارخ توان-20000-14031002,-387.8910069670395,-117.85621786373508,0.0,0.0,-1630270.2306049215,-540352.2362132896,-1649216.45488478,-560202.7513964601,-0.2705515296369469,-0.12694051872937692,1.725625539257981e-07,3751000,25882.781352391303,23831.825543735056,7.19727211593002,-1.2970571806375841,Bearish Market,neutral
اختيارخ بساما-4164-14040207,0.6976174871713607,-12.576000404502691,66.97999999999999,0.0,-969639.5502664734,-7647722.17565843,-1287025.183043909,-8024199.276316393,0.06247693806228874,-2602.0684982526077,1.699264218593349e-07,2402,7386.097917097286,4651.209226596643,21.882803912496463,-23.247372498405227,Bearish Market,neutral
اختيارخ موج-15000-14031016,-63.34016805872633,3.2084408830372593,0.0,77.08,-2350841.858452353,-141047.97267644035,-2416889.169162351,-208449.2400891409,-0.26349191942718486,0.018316453751662586,1.25e-07,6002000,23354.317885333032,21325.538444685404,13.513744946695017,3.6528552769777622,Bearish Market,neutral
اختيارخ بساما-4580-14031205,-8.479423458838097,-23.3539956996467,0.03,0.0,-2158996.119332141,-4800179.890759725,-2319302.6829619072,-4986598.2315283995,-0.25199926235698,-14.271681726878322,1.699264218593349e-07,288240,7441.636731262088,4975.205211512349,22.79928599442389,-17.900904100456295,Bearish Market,neutral
اختيارخ خپارس-650-14031114,-102.4640141240832,-48.71672845927346,0.0,0.0,-679705.4672098355,-338824.7011590319,-687087.6540614293,-347054.23678817716,-0.656840011435224,-10.32427962263761,1.01010101010101e-06,30000,1705.3403933227373,707.0923582069887,79.13239425659006,-25.725592625316306,Bearish Market,neutral
اختيارخ فصبا-3400-14031114,-22.93583636948252,-47.42470017590694,0.0,0.0,-896900.8585984983,-1704096.553580389,-936887.9624754916,-1742567.1008280634,-0.30567775625271665,-10.622764135057265,4.091653027823241e-07,146000,6076.83491376712,3687.278679708797,23.96644050932517,-24.780116693006992,Bearish Market,neutral
اختيارخ آساس-50000-14031030,-382.98016706855196,31.78314719984735,0.0,99.92999999999999,-1200000.0,100000.0,-1200000.0,99740.24235381694,-0.9997835352948475,0.9974024235381694,8.333333333333333e-07,100000,52610.59967821477,51480.29382575313,12.2287633393378,9.817598501969215,Bearish Market,neutral
اختيارخ بساما-6246-14031205,-28.170639156084842,-2.8443779195372656,0.0,16.09,-4804000.0,-1110799.0281345106,-4804000.0,-1294963.1771081372,-0.9076686443939445,-183.66271121211116,2.0815986677768527e-07,2402,8728.838760453367,6612.788714110136,44.040243571837735,9.12192597541479,Bearish Market,neutral
اختيارخ خاور-1600-14031009,-232.0440087773794,34.82502956781882,0.0,100.0,-250000.0,25437.677280290212,-250000.0,22477.336853085933,-0.9696179702475671,0.8273748309520863,4e-06,44000,1867.3645491965497,1659.4309831779067,17.29676816561241,4.235614521225295,Bearish Market,neutral
اختيارخ خاور-1300-14031219,-9.272549458371303,2.8698323759222593,0.0,91.56,-331323.3173016138,-16501.030704492612,-353288.1386247884,-40320.02420123904,-0.3727188690357421,0.15798570179694005,1.5455950540958269e-06,482000,2085.657695378278,1908.9070432275762,31.00864920717825,19.906221308264826,Bearish Market,neutral
اختيارخ خپارس-750-14031009,-729.7043056369835,-271.7637426921607,0.0,0.0,-545974.6906266483,-207881.321934375,-548068.0009716529,-209867.48029399544,-0.7188406528191127,-20.086951038566536,1.3333333333333334e-06,10000,1514.0793642134186,767.1335445347987,59.04195002241792,-19.418745321974928,Bearish Market,neutral
اختيارخ توان-28000-14031219,-150.44157352394723,39.74521833132643,0.0,99.92,-2222000.0,591000.0,-2222000.0,589158.915636755,-0.9991714291794579,0.9968847980317342,4.5004500450045006e-07,591000,32374.29217756667,30627.138761458828,34.08280048691932,26.846712617348633,Bearish Market,neutral
اختيارخ آساس-40000-14031030,-9.664253898390859,-17.63989829245914,0.27999999999999997,0.0,-2710594.885970079,-4167456.8643319863,-2963156.920326097,-4436483.59860382,-0.17475873164116937,-0.633812663096813,1.0102030508132135e-07,5000000,51273.75611998513,46239.78487343095,9.37701292714095,-1.3614384712851368,Bearish Market,neutral
اختيارخ فصبا-2800-14031114,-21.452996844750206,-69.7285011814983,0.0,0.0,-853018.9148051376,-2451990.011061472,-893398.1924664063,-2488644.11375999,-0.2342358474438286,-2295.526693515958,3.334444814938313e-07,1000,6030.042037121069,2912.596610790846,23.011873462282107,-40.58350447183096,Bearish Market,neutral
اختيارخ آساس-38000-14031030,-15.77758043902125,-56.04006431506663,0.0,0.0,-3813878.0257899375,-11080606.701307792,-4064327.973967553,-11344294.110347817,-0.21731679656841155,-100.74098961407218,7.692899453804138e-08,100000,52404.06197244678,39149.684526171535,11.788177764509534,-16.4860179056881,Bearish Market,neutral
اختيارخ خاور-1100-14031009,-243.3042979004512,-403.8975957179952,0.0,0.0,-304342.5567979001,-498291.4563654932,-307500.24413210986,-501479.8656354425,-0.3663490532742505,-24.34603786902998,1.25e-06,20000,1917.833861336997,1130.5125919460193,20.466951089007356,-28.987902515953568,Bearish Market,neutral
اختيارخ هم وزن-17000-14031205,-5.464046397066651,-1.066640271779293,1.31,32.940000000000005,-2139192.5378647926,-1154040.6299677803,-2344499.3309699334,-1399632.7759025064,-0.27961492332921073,-0.08057761500618392,2.2222222222222222e-07,3000000,22758.917456918192,21171.086006435526,19.05067456671126,10.744813550429066,Bearish Market,neutral
اختيارخ خاور-1000-14031009,-240.25996401961433,-75.3089361451741,0.0,0.0,-304570.4187340576,-103505.8470309607,-307924.8425435715,-106674.5749237574,-0.32575013113972057,-0.1783007416975756,1.111111111111111e-06,515000,1917.833861336997,1529.2201578555528,20.466951089007356,-3.9434574211336226,Bearish Market,neutral
اختيارخ خاور-1200-14031009,-203.33771920152643,-266.6093873659664,0.0,0.0,-254483.65132159,-330105.3430557858,-257477.07522425413,-333262.80933891557,-0.3739503151612889,-3.62423062664957,1.5384615384615385e-06,88000,1867.3645491965497,1300.089480737922,17.29676816561241,-18.33608789334661,Bearish Market,neutral
