OptionName,DRX,DRY
اختيارخ توان-11000-14031002,2474209.668673362,25289.833593507807
اختيارخ توان-14000-14031002,2274536.568374213,23915.658428899333
اختيارخ توان-17000-14031002,2491749.7886784417,24776.469555833566
اختيارخ خپارس-600-14031114,2636426.517767367,-81837.2529071501
اختيارخ خپارس-650-14031114,2790314.626682151,-82022.35406576893
اختيارخ رويين-11000-14031121,1805713.5774773457,-89423.74965198312
اختيارخ موج-20000-14031219,-700174.0538949408,-109910.35577609441
اختيارخ خپارس-700-14031009,4102434.5454352307,-92958.15299167721
اختيارخ خپارس-800-14031009,3548865.6352096153,-93945.71133235641
اختيارخ خپارس-750-14031114,3074142.2368281046,-81626.45631817768
اختيارخ رويين-9000-14031030,2889726.7595296605,108953.95803655277
اختيارخ رويين-14000-14031030,204921.3329607793,-108380.45290755457
اختيارخ موج-12000-14031219,-3033502.5541799217,500328.2408150325
اختيارخ موج-14000-14031219,-6648385.61815231,450039.0839030886
اختيارخ اطلس-55000-14031002,2340380.761390859,-104770.72964557297
اختيارخ آساس-34000-14031226,-12539975.127099305,1517217.8103419123
اختيارخ توان-22000-14031219,6931.71712214686,-108715.08847203555
اختيارخ رويين-9000-14031226,-532680.3455156405,308787.9465515553
اختيارخ رويين-11000-14031226,1223153.643214921,-106659.23122720291
اختيارخ اطلس-50000-14031002,-401403.8597004777,207830.41501150175
اختيارخ اطلس-48000-14031107,-5104367.444354634,531736.9141405871
اختيارخ فصبا-3000-14031114,2888459.3919155034,-8456.97238187294
اختيارخ فصبا-4600-14031114,3683881.726164366,-102499.71281350317
اختيارخ آساس-40000-14031226,-10392574.827504005,60131.08570975458
اختيارخ آساس-34000-14031030,-9612366.60691388,681792.050341746
اختيارخ آساس-38000-14031030,-11049466.603987314,677847.9444164069
اختيارخ رويين-12000-14040131,1774696.1445387201,-105726.92498206525
اختيارخ رويين-11000-14040228,-700174.053882326,-109910.35302207191
اختيارخ اطلس-50000-14031107,-4235702.908628221,-115886.67685432623
اختيارخ فصبا-2000-14031114,2879692.817710868,-5283.776122998417
اختيارخ فصبا-4000-14031114,3344470.956129237,-103073.43753020413
اختيارخ فصبا-4200-14031114,3401039.417793514,-102977.81745441166
اختيارخ اطلس-55000-14031107,289774.02555300994,-108236.98207740541
اختيارخ فصبا-4400-14031114,3683881.726180521,-102499.71139460952
اختيارخ فصبا-4800-14031114,3935611.3806268335,-102074.19830737164
اختيارخ آساس-50000-14031030,1986827.8758714707,-105368.34730730532
اختيارخ آساس-32000-14031226,-11253885.30142795,1536961.5810054184
اختيارخ توان-16000-14031002,2471632.53767213,27323.45379711085
اختيارخ اطلس-40000-14031002,176730.9055237295,213410.52822181024
اختيارخ فصبا-3800-14031114,3149908.5819874518,-51853.14821375144
اختيارخ آساس-45000-14031030,-2664513.885541128,-113230.79914440756
اختيارخ توان-11000-14031219,-3391602.6350609213,637581.8229320935
اختيارخ توان-16000-14031219,-3324835.493815191,576929.5825124551
اختيارخ خپارس-650-14031009,3279627.986777721,-94380.10407472808
اختيارخ رويين-10000-14031226,-863396.5290112421,127445.88465086505
اختيارخ توان-22000-14031002,2835354.801067775,-103934.05074097941
اختيارخ توان-20000-14031219,-2397227.9041628176,-112778.98917931426
اختيارخ توان-15000-14031002,2492629.0960003617,23938.45061874416
